Node 1

Echo Requests Sent, Echo Requests Received, Echo Replies Sent, Echo Replies Received
128,49,49,128
Echo Request Bytes Sent (bytes), Echo Request Data Sent (bytes)
89452,84076
Echo Request Bytes Received (bytes), Echo Request Data Received (bytes)
51904,49846

Average RTT (milliseconds),2.56
Echo Request Throughput (kB/sec),271.1
Echo Request GoodPut (kB/sec),255.9
Average Reply Delay (microseconds),55.51
Average Echo Request Hop Count,1.91

Node 2

Echo Requests Sent, Echo Requests Received, Echo Replies Sent, Echo Replies Received
82,160,160,82
Echo Request Bytes Sent (bytes), Echo Request Data Sent (bytes)
53040,49596
Echo Request Bytes Received (bytes), Echo Request Data Received (bytes)
113816,107096

Average RTT (milliseconds),2.68
Echo Request Throughput (kB/sec),241.4
Echo Request GoodPut (kB/sec),223.2
Average Reply Delay (microseconds),43.62
Average Echo Request Hop Count,2.32

Node 3

Echo Requests Sent, Echo Requests Received, Echo Replies Sent, Echo Replies Received
72,98,98,72
Echo Request Bytes Sent (bytes), Echo Request Data Sent (bytes)
53070,50046
Echo Request Bytes Received (bytes), Echo Request Data Received (bytes)
62908,58792

Average RTT (milliseconds),2.78
Echo Request Throughput (kB/sec),264.8
Echo Request GoodPut (kB/sec),249.9
Average Reply Delay (microseconds),54.86
Average Echo Request Hop Count,1.94

Node 4

Echo Requests Sent, Echo Requests Received, Echo Replies Sent, Echo Replies Received
108,86,86,108
Echo Request Bytes Sent (bytes), Echo Request Data Sent (bytes)
75232,70696
Echo Request Bytes Received (bytes), Echo Request Data Received (bytes)
42388,38776

Average RTT (milliseconds),3.04
Echo Request Throughput (kB/sec),228.6
Echo Request GoodPut (kB/sec),213.3
Average Reply Delay (microseconds),47.66
Average Echo Request Hop Count,2.43

